index	name	kind
699	PriceRuleDiscountCodeUpdatePayload	OBJECT
700	PriceRuleUpdatePayload	OBJECT
701	ProductAppendImagesPayload	OBJECT
702	ProductAppendImagesInput	INPUT_OBJECT
703	ProductCreatePayload	OBJECT
704	ProductInput	INPUT_OBJECT
705	ProductPublicationInput	INPUT_OBJECT
706	ProductVariantInput	INPUT_OBJECT
707	InventoryLevelInput	INPUT_OBJECT
708	InventoryItemInput	INPUT_OBJECT
709	ProductDeleteImagesPayload	OBJECT
710	ProductImageUpdatePayload	OBJECT
711	ProductReorderImagesPayload	OBJECT
712	ProductDeletePayload	OBJECT
713	ProductDeleteInput	INPUT_OBJECT
714	ProductDuplicatePayload	OBJECT
715	ProductPublishPayload	OBJECT
716	ProductPublishInput	INPUT_OBJECT
717	PublishablePublishPayload	OBJECT
718	PublicationInput	INPUT_OBJECT
719	PublishablePublishToCurrentChannelPayload	OBJECT
720	ProductUpdatePayload	OBJECT
721	SavedSearchCreatePayload	OBJECT
722	SavedSearchCreateInput	INPUT_OBJECT
723	SavedSearchDeletePayload	OBJECT
724	SavedSearchDeleteInput	INPUT_OBJECT
725	SavedSearchUpdatePayload	OBJECT
726	SavedSearchUpdateInput	INPUT_OBJECT
727	ProductUnpublishPayload	OBJECT
728	ProductUnpublishInput	INPUT_OBJECT
729	PublishableUnpublishPayload	OBJECT
730	PublishableUnpublishToCurrentChannelPayload	OBJECT
731	ProductVariantCreatePayload	OBJECT
732	ProductVariantDeletePayload	OBJECT
733	ProductVariantUpdatePayload	OBJECT
734	PrivateMetafieldUpsertPayload	OBJECT
735	PrivateMetafieldDeletePayload	OBJECT
736	PrivateMetafieldDeleteInput	INPUT_OBJECT
737	RefundCreatePayload	OBJECT
738	RefundInput	INPUT_OBJECT
739	ScriptTagCreatePayload	OBJECT
740	ScriptTagInput	INPUT_OBJECT
741	ScriptTagDeletePayload	OBJECT
742	ScriptTagUpdatePayload	OBJECT
743	ShippingLabelCancellationReason	ENUM
744	ShippingPackageDeletePayload	OBJECT
745	ShippingPackageMakeDefaultPayload	OBJECT
746	ShippingPackageUpdatePayload	OBJECT
747	ShopLocaleDisablePayload	OBJECT
748	ShopLocaleEnablePayload	OBJECT
749	ShopLocaleUpdatePayload	OBJECT
750	ShopLocaleInput	INPUT_OBJECT
751	StaffMemberInviteInput	INPUT_OBJECT
752	StaffMemberInput	INPUT_OBJECT
753	StagedUploadTargetGeneratePayload	OBJECT
754	MutationsStagedUploadTargetGenerateUploadParameter	OBJECT
755	StagedUploadTargetGenerateInput	INPUT_OBJECT
756	StagedUploadTargetGenerateUploadResource	ENUM
757	StagedUploadHttpMethodType	ENUM
758	StagedUploadTargetsGeneratePayload	OBJECT
759	StagedUploadTarget	OBJECT
760	ImageUploadParameter	OBJECT
761	StageImageInput	INPUT_OBJECT
762	StorefrontAccessTokenCreatePayload	OBJECT
763	StorefrontAccessTokenInput	INPUT_OBJECT
764	StorefrontAccessTokenDeletePayload	OBJECT
765	StorefrontAccessTokenDeleteInput	INPUT_OBJECT
766	TagsAddPayload	OBJECT
767	TagsRemovePayload	OBJECT
768	CommentEvent	OBJECT
769	CommentEventAttachment	OBJECT
770	CommentEventEmbed	UNION
771	AttachmentInput	INPUT_OBJECT
772	TranslationsRegisterPayload	OBJECT
773	TranslationUserError	OBJECT
774	TranslationErrorCode	ENUM
775	TranslationInput	INPUT_OBJECT
776	TranslationsRemovePayload	OBJECT
777	WebhookSubscriptionCreatePayload	OBJECT
778	WebhookSubscriptionInput	INPUT_OBJECT
779	WebhookSubscriptionDeletePayload	OBJECT
780	WebhookSubscriptionUpdatePayload	OBJECT
781	__Schema	OBJECT
782	__Type	OBJECT
783	__Field	OBJECT
784	__Directive	OBJECT
785	__EnumValue	OBJECT
786	__InputValue	OBJECT
787	__TypeKind	ENUM
788	__DirectiveLocation	ENUM
789	BasicEvent	OBJECT
790	DiscountCodeApplication	OBJECT
791	ManualDiscountApplication	OBJECT
792	ScriptDiscountApplication	OBJECT
793	AutomaticDiscountApplication	OBJECT
794	ShopifyPaymentsDefaultChargeStatementDescriptor	OBJECT
795	ShopifyPaymentsJpChargeStatementDescriptor	OBJECT
